Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;06 Cantabria;2009;50,2
Total Nacional;06 Cantabria;2008;53,2
Total Nacional;06 Cantabria;2007;53,3
Total Nacional;06 Cantabria;2006;51,9
Total Nacional;07 Castilla y León;2022;49,6
Total Nacional;07 Castilla y León;2021;48,0
Total Nacional;07 Castilla y León;2020;47,3
Total Nacional;07 Castilla y León;2019;48,5
Total Nacional;07 Castilla y León;2018;47,9
Total Nacional;07 Castilla y León;2017;47,1
Total Nacional;07 Castilla y León;2016;46,4
Total Nacional;07 Castilla y León;2015;44,8
Total Nacional;07 Castilla y León;2014;43,6
Total Nacional;07 Castilla y León;2013;43,0
Total Nacional;07 Castilla y León;2012;44,5
Total Nacional;07 Castilla y León;2011;46,0
Total Nacional;07 Castilla y León;2010;46,4
Total Nacional;07 Castilla y León;2009;46,9
Total Nacional;07 Castilla y León;2008;49,3
Total Nacional;07 Castilla y León;2007;49,9
Total Nacional;07 Castilla y León;2006;48,9
Total Nacional;08 Castilla - La Mancha;2022;50,7
Total Nacional;08 Castilla - La Mancha;2021;49,9
Total Nacional;08 Castilla - La Mancha;2020;47,1
Total Nacional;08 Castilla - La Mancha;2019;49,0
Total Nacional;08 Castilla - La Mancha;2018;48,1
Total Nacional;08 Castilla - La Mancha;2017;46,7
Total Nacional;08 Castilla - La Mancha;2016;44,7
Total Nacional;08 Castilla - La Mancha;2015;43,2
Total Nacional;08 Castilla - La Mancha;2014;42,0
Total Nacional;08 Castilla - La Mancha;2013;41,7
Total Nacional;08 Castilla - La Mancha;2012;42,3
Total Nacional;08 Castilla - La Mancha;2011;45,5
Total Nacional;08 Castilla - La Mancha;2010;45,9
Total Nacional;08 Castilla - La Mancha;2009;47,2
Total Nacional;08 Castilla - La Mancha;2008;50,9
Total Nacional;08 Castilla - La Mancha;2007;52,3
Total Nacional;08 Castilla - La Mancha;2006;50,6
Total Nacional;09 Cataluña;2022;55,0
Total Nacional;09 Cataluña;2021;54,2
Total Nacional;09 Cataluña;2020;52,7
Total Nacional;09 Cataluña;2019;54,8
Total Nacional;09 Cataluña;2018;54,2
Total Nacional;09 Cataluña;2017;53,5
Total Nacional;09 Cataluña;2016;52,3
Total Nacional;09 Cataluña;2015;50,7
Total Nacional;09 Cataluña;2014;49,9
Total Nacional;09 Cataluña;2013;48,6
Total Nacional;09 Cataluña;2012;49,2
Total Nacional;09 Cataluña;2011;51,8
Total Nacional;09 Cataluña;2010;52,5
Total Nacional;09 Cataluña;2009;53,2
Total Nacional;09 Cataluña;2008;58,3
Total Nacional;09 Cataluña;2007;59,2
Total Nacional;09 Cataluña;2006;58,8
Total Nacional;10 Comunitat Valenciana;2022;50,9
Total Nacional;10 Comunitat Valenciana;2021;48,6
Total Nacional;10 Comunitat Valenciana;2020;47,9
Total Nacional;10 Comunitat Valenciana;2019;50,0
Total Nacional;10 Comunitat Valenciana;2018;49,4
Total Nacional;10 Comunitat Valenciana;2017;48,4
Total Nacional;10 Comunitat Valenciana;2016;47,1
Total Nacional;10 Comunitat Valenciana;2015;45,6
Total Nacional;10 Comunitat Valenciana;2014;43,8
Total Nacional;10 Comunitat Valenciana;2013;42,9
Total Nacional;10 Comunitat Valenciana;2012;43,4
Total Nacional;10 Comunitat Valenciana;2011;45,4
Total Nacional;10 Comunitat Valenciana;2010;46,4
Total Nacional;10 Comunitat Valenciana;2009;48,2
Total Nacional;10 Comunitat Valenciana;2008;53,5
Total Nacional;10 Comunitat Valenciana;2007;54,8
Total Nacional;10 Comunitat Valenciana;2006;54,6
Total Nacional;11 Extremadura;2022;46,0
Total Nacional;11 Extremadura;2021;44,4
Total Nacional;11 Extremadura;2020;42,5
Total Nacional;11 Extremadura;2019;43,7
Total Nacional;11 Extremadura;2018;42,2
Total Nacional;11 Extremadura;2017;40,4
Total Nacional;11 Extremadura;2016;40,0
Total Nacional;11 Extremadura;2015;39,1
Total Nacional;11 Extremadura;2014;38,7
Total Nacional;11 Extremadura;2013;37,0
Total Nacional;11 Extremadura;2012;36,9
Total Nacional;11 Extremadura;2011;40,6
Total Nacional;11 Extremadura;2010;41,9
Total Nacional;11 Extremadura;2009;42,6
Total Nacional;11 Extremadura;2008;45,2
Total Nacional;11 Extremadura;2007;46,0
Total Nacional;11 Extremadura;2006;44,7
Total Nacional;12 Galicia;2022;47,1
Total Nacional;12 Galicia;2021;46,4
Total Nacional;12 Galicia;2020;45,9
Total Nacional;12 Galicia;2019;46,9
Total Nacional;12 Galicia;2018;46,2
Total Nacional;12 Galicia;2017;45,0
Total Nacional;12 Galicia;2016;44,3
Total Nacional;12 Galicia;2015;43,1
Total Nacional;12 Galicia;2014;42,1
Total Nacional;12 Galicia;2013;42,2
Total Nacional;12 Galicia;2012;43,7
Total Nacional;12 Galicia;2011;45,3
Total Nacional;12 Galicia;2010;45,9
Total Nacional;12 Galicia;2009;48,0
Total Nacional;12 Galicia;2008;50,0
Total Nacional;12 Galicia;2007;49,9
Total Nacional;12 Galicia;2006;48,9
Total Nacional;13 Madrid, Comunidad de;2022;56,3
Total Nacional;13 Madrid, Comunidad de;2021;56,1
Total Nacional;13 Madrid, Comunidad de;2020;54,4
Total Nacional;13 Madrid, Comunidad de;2019;56,2
Total Nacional;13 Madrid, Comunidad de;2018;55,2
Total Nacional;13 Madrid, Comunidad de;2017;54,5
Total Nacional;13 Madrid, Comunidad de;2016;53,7
Total Nacional;13 Madrid, Comunidad de;2015;53,6
Total Nacional;13 Madrid, Comunidad de;2014;51,9
Total Nacional;13 Madrid, Comunidad de;2013;51,7
Total Nacional;13 Madrid, Comunidad de;2012;53,2
Total Nacional;13 Madrid, Comunidad de;2011;54,6
Total Nacional;13 Madrid, Comunidad de;2010;55,6
Total Nacional;13 Madrid, Comunidad de;2009;56,7
Total Nacional;13 Madrid, Comunidad de;2008;59,9
Total Nacional;13 Madrid, Comunidad de;2007;60,9
Total Nacional;13 Madrid, Comunidad de;2006;60,2
Total Nacional;14 Murcia, Región de;2022;51,8
Total Nacional;14 Murcia, Región de;2021;51,7
Total Nacional;14 Murcia, Región de;2020;49,3
Total Nacional;14 Murcia, Región de;2019;50,4
Total Nacional;14 Murcia, Región de;2018;49,4
Total Nacional;14 Murcia, Región de;2017;48,8
Total Nacional;14 Murcia, Región de;2016;47,4
Total Nacional;14 Murcia, Región de;2015;44,8
Total Nacional;14 Murcia, Región de;2014;44,9
Total Nacional;14 Murcia, Región de;2013;43,6
Total Nacional;14 Murcia, Región de;2012;44,7
Total Nacional;14 Murcia, Región de;2011;46,1
Total Nacional;14 Murcia, Región de;2010;47,8
Total Nacional;14 Murcia, Región de;2009;48,9
Total Nacional;14 Murcia, Región de;2008;54,0
Total Nacional;14 Murcia, Región de;2007;56,0
Total Nacional;14 Murcia, Región de;2006;54,7
Total Nacional;15 Navarra, Comunidad Foral de;2022;53,3
Total Nacional;15 Navarra, Comunidad Foral de;2021;52,4
Total Nacional;15 Navarra, Comunidad Foral de;2020;51,4
Total Nacional;15 Navarra, Comunidad Foral de;2019;53,8
Total Nacional;15 Navarra, Comunidad Foral de;2018;53,2
Total Nacional;15 Navarra, Comunidad Foral de;2017;53,1
Total Nacional;15 Navarra, Comunidad Foral de;2016;51,2
Total Nacional;15 Navarra, Comunidad Foral de;2015;50,7
Total Nacional;15 Navarra, Comunidad Foral de;2014;50,4
Total Nacional;15 Navarra, Comunidad Foral de;2013;49,4
Total Nacional;15 Navarra, Comunidad Foral de;2012;50,9
Total Nacional;15 Navarra, Comunidad Foral de;2011;53,1
Total Nacional;15 Navarra, Comunidad Foral de;2010;53,5
Total Nacional;15 Navarra, Comunidad Foral de;2009;54,4
Total Nacional;15 Navarra, Comunidad Foral de;2008;57,3
Total Nacional;15 Navarra, Comunidad Foral de;2007;58,4
Total Nacional;15 Navarra, Comunidad Foral de;2006;57,7
Total Nacional;16 País Vasco;2022;51,6
Total Nacional;16 País Vasco;2021;50,5
Total Nacional;16 País Vasco;2020;49,8
Total Nacional;16 País Vasco;2019;51,0
Total Nacional;16 País Vasco;2018;50,7
Total Nacional;16 País Vasco;2017;49,8
Total Nacional;16 País Vasco;2016;49,8
Total Nacional;16 País Vasco;2015;48,4
Total Nacional;16 País Vasco;2014;47,7
Total Nacional;16 País Vasco;2013;47,9
Total Nacional;16 País Vasco;2012;49,1
Total Nacional;16 País Vasco;2011;51,8
Total Nacional;16 País Vasco;2010;52,0
Total Nacional;16 País Vasco;2009;51,4
Total Nacional;16 País Vasco;2008;54,6
Total Nacional;16 País Vasco;2007;54,4
Total Nacional;16 País Vasco;2006;54,2
Total Nacional;17 Rioja, La;2022;54,2
Total Nacional;17 Rioja, La;2021;53,0
Total Nacional;17 Rioja, La;2020;52,1
Total Nacional;17 Rioja, La;2019;53,6
Total Nacional;17 Rioja, La;2018;53,0
Total Nacional;17 Rioja, La;2017;51,9
Total Nacional;17 Rioja, La;2016;51,2
Total Nacional;17 Rioja, La;2015;50,2
Total Nacional;17 Rioja, La;2014;49,3
Total Nacional;17 Rioja, La;2013;47,4
Total Nacional;17 Rioja, La;2012;47,5
Total Nacional;17 Rioja, La;2011;50,2
Total Nacional;17 Rioja, La;2010;51,4
Total Nacional;17 Rioja, La;2009;52,9
Total Nacional;17 Rioja, La;2008;55,7
Total Nacional;17 Rioja, La;2007;56,0
Total Nacional;17 Rioja, La;2006;56,0
Total Nacional;18 Ceuta;2022;44,4
Total Nacional;18 Ceuta;2021;41,0
Total Nacional;18 Ceuta;2020;42,5
Total Nacional;18 Ceuta;2019;43,1
Total Nacional;18 Ceuta;2018;41,7
Total Nacional;18 Ceuta;2017;43,3
Total Nacional;18 Ceuta;2016;43,1
Total Nacional;18 Ceuta;2015;41,5
Total Nacional;18 Ceuta;2014;40,2
Total Nacional;18 Ceuta;2013;39,3
Total Nacional;18 Ceuta;2012;37,5
Total Nacional;18 Ceuta;2011;41,6
Total Nacional;18 Ceuta;2010;43,1
Total Nacional;18 Ceuta;2009;47,0
Total Nacional;18 Ceuta;2008;46,6
Total Nacional;18 Ceuta;2007;42,3
Total Nacional;18 Ceuta;2006;42,2
Total Nacional;19 Melilla;2022;48,3
Total Nacional;19 Melilla;2021;50,8
Total Nacional;19 Melilla;2020;47,5
Total Nacional;19 Melilla;2019;44,2
Total Nacional;19 Melilla;2018;46,6
Total Nacional;19 Melilla;2017;43,3
Total Nacional;19 Melilla;2016;40,5
Total Nacional;19 Melilla;2015;37,8
Total Nacional;19 Melilla;2014;39,6
Total Nacional;19 Melilla;2013;39,9
Total Nacional;19 Melilla;2012;41,6
Total Nacional;19 Melilla;2011;43,9
Total Nacional;19 Melilla;2010;41,8
Total Nacional;19 Melilla;2009;41,5
Total Nacional;19 Melilla;2008;44,1
Total Nacional;19 Melilla;2007;45,6
Total Nacional;19 Melilla;2006;46,8
